Territorial emissions in tCO₂/person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,Albania,Algeria,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,"Bonaire, Saint Eustatius and Saba",Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Cayman Islands,Central African Republic,Chad,Chile,China,Colombia,Comoros,Congo,Cook Islands,Costa Rica,Croatia,Cuba,Curaçao,Cyprus,Czech Republic,Côte d'Ivoire,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Faeroe Islands,Falkland Islands (Malvinas),Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Macao,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mexico,Micronesia (Federated States of),Moldova,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,North Korea,North Macedonia,Norway,Occupied Palestinian Territory,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Republic of South Sudan,Romania,Russian Federation,Rwanda,Réunion,Saint Helena,Saint Kitts and Nevis,Saint Lucia,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Korea,Spain,Sri Lanka,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States of America,Uruguay,Uzbekistan,Vanuatu,Venezuela,Vietnam,Wallis and Futuna Islands,Western Sahara,Yemen,Zambia,Zimbabwe
2011,,0.184782004,0.2556586,,0.201387081,,,0.237498767,0.251157501,,0.412060533,0.193298062,0.23289404,,0.56592251,0.145883976,,0.384776537,0.236405567,,0.265400794,,,0.308898014,,0.679496125,0.147434678,0.158701732,,0.299930868,0.472408738,,,0.139284394,0.109232084,0.403097727,,,,,0.237405534,0.696756513,0.145964012,,0.097158721,,0.121065792,0.243863151,0.143276992,2.108963816,0.281469972,0.390523882,0.123356997,0.054688726,0.183042315,,,0.1914598,0.25334923,0.257660325,0.164512618,,0.083936877,0.613997865,0.072158266,,,,0.265772581,0.148637977,,,0.186559201,,0.281010334,0.243507512,0.133968209,,0.332227843,,,,0.112095004,,,,0.146364866,0.267618098,0.124342479,0.229268816,0.272473487,0.313936378,0.237263629,0.429064486,0.328144042,0.185854028,0.296814407,0.20327034,0.367552647,0.282650645,0.310649996,0.686736586,0.121465482,,0.576252859,0.356196914,0.478675539,,0.199356815,0.287222191,,,0.724564193,,0.216600239,0.249483193,,,,0.354478819,,,0.220669578,,,,0.192736935,0.268249167,,0.339233038,0.889217645,0.276181735,,0.251083868,0.133159023,0.07788596,0.14695225,,0.095996764,0.22140279,,0.245399726,0.199588853,0.098664378,0.155793778,,0.37872356,0.384939936,0.156522681,,0.412443862,0.210264062,,0.160277304,,0.083630134,0.160577993,0.157182917,0.397588336,0.182748767,0.321951979,,0.26184823,0.544712863,,,,,,,,,,0.370689918,0.223509233,0.548354615,,,0.081801739,0.274504249,0.286014512,,,0.750576419,0.399611057,0.193700192,0.081352023,0.097527866,0.315617746,,0.123236642,0.097057159,0.524129017,0.305937863,0.13820039,0.07834467,0.289187083,,0.301166707,,1.150946792,0.239209071,0.24411238,1.093979698,,,,0.830350118,0.389158915,0.204439791,0.36432128,0.128846834,0.881624823,,0.358921268,0.372518832,,,0.223295989,0.07178985,0.378343251
2012,,0.166270141,0.280065354,,0.156237574,,,0.241246234,0.271031166,,0.403866229,0.184775108,0.22648197,,0.519720199,0.147005422,,0.386029675,0.229867948,,0.248841284,,,0.305707747,,0.638204256,0.177855241,0.167717448,,0.295814909,0.429312764,,,0.137204724,0.121837644,0.396933565,,,,,0.229910601,0.663003086,0.148190898,,0.209766392,,0.114722521,0.230721996,0.141009513,3.554689403,0.270258204,0.380325913,0.150035137,0.049328002,0.164561983,,,0.185844066,0.239884575,0.252885783,0.15933184,,0.085341615,0.551776744,0.072751171,,,,0.24347675,0.149139314,,,0.202401582,,0.279472508,0.243747641,0.15703897,,0.346588444,,,,0.112149189,,,,0.141716217,0.267390863,0.121108511,0.217126312,0.26873749,0.328512695,0.228714559,0.472431142,0.327143532,0.186347793,0.31658828,0.199030575,0.354484365,0.287545346,0.339248981,0.674324078,0.107529674,,0.530407545,0.394098557,0.634174807,,0.184475356,0.307912915,,,0.364739339,,0.209445061,0.245056035,,,,0.330344318,,,0.227259086,,,,0.188484762,0.268125751,,0.329236615,1.296724834,0.260948001,,0.253014216,0.122144028,0.057042977,0.168682755,,0.096002176,0.2189603,,0.251141294,0.177428538,0.123660863,0.125818944,,0.383775528,0.367294593,0.15070539,,0.429344552,0.203448303,,0.143288202,,0.083672446,0.14072781,0.155931947,0.382399226,0.183649036,0.362269775,0.406852248,0.252283967,0.530288249,,,,,,,,,,0.400534988,0.200209398,0.494989477,,,0.12171388,0.255281154,0.283110888,,,0.723570412,0.393475607,0.195520288,0.079101638,0.105304179,0.274306166,,0.117384245,0.099062896,0.512337092,0.295925165,0.161131557,0.087090014,0.288292611,,0.250124182,,1.123966117,0.244521338,0.242507785,1.094807601,,,,0.81766785,0.388630517,0.209144804,0.343382899,0.139717696,0.854879128,,0.33937472,0.337904321,,,0.219867793,0.082417648,0.352165478
2013,,0.179468468,0.282791064,,0.144073813,,,0.233419088,0.252635903,,0.385740531,0.186083183,0.219180373,,0.566441843,0.14115903,,0.391853196,0.23010395,,0.240771989,,,0.305964907,,0.614164577,0.178185766,0.173960861,,0.242629888,0.377179369,,,0.129196177,0.119333212,0.390891938,,,,,0.226844397,0.626410311,0.155579826,,0.238043873,,0.117917459,0.223903695,0.12935687,3.323248792,0.260041866,0.366481671,0.156176186,0.068266466,0.170818578,,,0.177306265,0.242302593,0.24479725,0.146562297,,0.083734826,0.599175665,0.079357095,,,,0.248013162,0.148995406,,,0.201708471,,0.262389888,0.247781169,0.145908628,,0.320262204,,,,0.119688533,,,,0.162505254,0.264268984,0.121766075,0.198364384,0.257270644,0.320565134,0.205377297,0.481063186,0.326186811,0.179341546,0.256131997,0.185464587,0.378524627,0.283932218,0.329965089,0.655794769,0.109523486,,0.521414615,0.320543125,0.552313147,,0.176484396,0.297691099,,,0.331882852,,0.188354088,0.224621476,,,,0.3582559,,,0.189577689,,,,0.187074517,0.261334889,,0.309383683,1.442774183,0.245021645,,0.240560962,0.133674193,0.056615134,0.122230685,,0.104793205,0.219226637,,0.241355222,0.171166283,0.131210393,0.125838696,,0.273248298,0.317481003,0.150110598,,0.428004329,0.190651659,,0.144260878,,0.07715867,0.125688052,0.157815954,0.372435812,0.179069767,0.310603237,0.335642874,0.213173176,0.501968378,,,,,,,,,,0.374690272,0.207688442,0.491677607,,,0.121914227,0.249118137,0.274960936,,,0.705523233,0.386442731,0.18020096,0.07108523,0.112768779,0.346461689,,0.112075374,0.09941302,0.477189635,0.290653138,0.148675327,0.088816497,0.294424317,,0.174763273,,1.104558164,0.241581192,0.218044169,1.014625454,,,,0.799791208,0.377993287,0.200803067,0.345716978,0.11643925,0.747783927,,0.378144903,0.336389632,,,0.279865634,0.083164476,0.358117272
2014,,0.200103392,0.292780864,,0.139830852,,,0.237993666,0.246909283,,0.373207773,0.175040855,0.219962089,,0.538331678,0.142159059,,0.382337676,0.214459949,,0.237802459,,,0.315891035,,0.537858237,0.206954683,0.181365397,,0.287720327,0.392830922,,,0.146200744,0.125938635,0.378151619,,,,,0.211597084,0.58628718,0.165000944,,0.206938822,,0.1156549,0.21497386,0.125664204,3.803145401,0.278228679,0.3484934,0.146864202,0.081634848,0.151214458,,,0.168860763,0.257455552,0.255277763,0.145054945,,0.082784843,0.557587583,0.088424236,,,,0.229759359,0.134614495,,,0.207803987,,0.279789032,0.231135328,0.148081639,,0.305952566,,,,0.123998745,,,,0.157969745,0.25960954,0.121661527,0.190839821,0.248852198,0.320411369,0.195119005,0.486596534,0.327955931,0.162939481,0.235509933,0.175086606,0.340763203,0.271872871,0.348013276,0.744972919,0.111814125,,0.458649762,0.288089524,0.554966742,,0.168645801,0.316029348,,,0.608956169,,0.178540685,0.204997601,,,,0.342369596,,,0.174262972,,,,0.186499069,0.248371955,,0.286743794,0.91126388,0.235765443,,0.236659892,0.27511636,0.065312691,0.164622684,,0.120713343,0.206937034,,0.234519201,0.168301766,0.132343234,0.125120063,,0.305894842,0.294090515,0.148722131,,0.420661347,0.188152913,,0.14177278,,0.077651477,0.140932257,0.15711311,0.346696199,0.1766825,0.325602933,0.33788517,0.204898809,0.497966278,,,,,,,,,,0.406810895,0.216432647,0.418128491,,,0.120516966,0.229432897,0.239458544,,,0.712722846,0.370874873,0.179402869,0.081621637,0.113233718,0.351162225,,0.104720855,0.088152121,0.592142707,0.281983378,0.220480253,0.082930058,0.287151578,,0.154871434,,1.133169812,0.243859306,0.217313921,0.935083834,,,,0.741450072,0.354949876,0.179206318,0.340394795,0.100621707,0.663557898,,0.348919796,0.385073014,,,0.273335054,0.087716521,0.358032129
2015,,0.153744005,0.298583808,,0.140635673,,,0.235782559,0.233491291,,0.370099278,0.178966534,0.219687219,,0.549771349,0.147865421,,0.367270467,0.219875726,,0.258797533,,,0.309508684,,0.4988111,0.166611347,0.1784183,,0.22717979,0.4047647,,,0.167194964,0.133868316,0.378499101,,,,,0.217939456,0.541218538,0.15635638,,0.208709915,,0.10667166,0.211634451,0.128432026,4.151678657,0.273697845,0.333358839,0.13018544,0.046046167,0.138514045,,,0.170024026,0.242759679,0.241976279,0.153582863,,0.080678681,0.459770215,0.084631947,,,,0.211819378,0.134953195,,,0.203379397,,0.296820713,0.228131306,0.155097261,,0.292792303,,,,0.137365987,,,,0.153540308,0.272868708,0.110748074,0.19664444,0.244306948,0.307552457,0.205593415,0.492257547,0.322536508,0.136819973,0.239691299,0.179329165,0.350921295,0.259919743,0.335400727,0.745117107,0.124159028,,0.515370347,0.35010547,0.543972269,,0.165835446,0.338159313,,,0.601447646,,0.177830737,0.187625452,,,,0.312998426,,,0.111967996,,,,0.180256904,0.238183719,,0.289297598,0.699483251,0.242309774,,0.231617376,0.205705627,0.084298848,0.162495253,,0.106263755,0.211311712,,0.227387649,0.183864852,0.12467239,0.108246755,,0.244162064,0.266481931,0.147610198,,0.410647699,0.19099468,,0.133257575,,0.083465828,0.136051062,0.16413258,0.337253305,0.189171984,0.313354217,0.481036217,0.19611202,0.511847813,,,,,,,,,,0.432852372,0.22961961,0.488254648,,,0.127380579,0.225552131,0.235531673,,,0.665473087,0.363565396,0.184413544,0.087128622,0.130429832,0.30354038,,0.10086123,0.085879632,0.761315152,0.279246719,0.239738663,0.083307484,0.282086125,,0.176985182,,1.084522364,0.254514952,0.216367953,0.901482587,,,,0.714260048,0.362398818,0.168570648,0.321749284,0.101115844,0.593219185,,0.350694186,0.427537888,,,0.174497268,0.088519548,0.360865724
2016,,0.146230585,0.286627583,,0.153852287,,,0.237875657,0.22168726,,0.370152232,0.177667899,0.227006975,,0.517869743,0.143774342,,0.372530486,0.213596622,,0.303358714,,,0.316986221,,0.569260996,0.187025307,0.172047501,,0.256430155,0.367030865,,,0.204262283,0.129113316,0.365376813,,,,,0.220878288,0.501994162,0.158581089,,0.220313981,,0.110579474,0.207667255,0.122532823,3.510956416,0.276201176,0.330529842,0.151213972,0.032430561,0.142200045,,,0.167283909,0.239236165,0.247295086,0.148103739,,0.081001506,0.492273619,0.088913815,,,,0.220514295,0.134642208,,,0.200630653,,0.297816891,0.224469775,0.145588579,,0.279401608,,,,0.141386425,,,,0.169482366,0.247097545,0.110873111,0.194153524,0.225974194,0.301424505,0.200643298,0.435647409,0.329132716,0.135878949,0.223944095,0.175881241,0.353271594,0.254183212,0.312053882,0.745733626,0.125157251,,0.526197267,0.372672014,0.489282272,,0.161322296,0.341709503,,,0.58583322,,0.174152144,0.178142762,,,,0.321157801,,,0.086665389,,,,0.179181098,0.231552749,,0.283893939,0.761094613,0.211970127,,0.228891438,0.25623842,0.076913618,0.169840272,,0.14934133,0.207686028,,0.209113341,0.174875461,0.115563092,0.117800247,,0.270692245,0.257877837,0.143237916,,0.379796075,0.212946699,,0.122840937,,0.094648126,0.140412782,0.167378885,0.338637147,0.179106142,0.294106758,0.452296257,0.184765814,0.511441256,,,,,,,,,,0.403168985,0.219898127,0.488665386,,,0.078549319,0.221538393,0.242097511,,,0.677676573,0.355299776,0.171559986,0.096831799,0.117802992,0.31339381,,0.097493718,0.085515786,0.856162362,0.279225291,0.272310361,0.079595483,0.272263299,,0.208966016,,1.009772952,0.248516227,0.22113529,0.846190262,,,,0.728966649,0.345324697,0.156579325,0.309430251,0.096178635,0.584487654,,0.385684999,0.418012838,,,0.15637013,0.098660917,0.307844054
2017,,0.169173001,0.295731557,,0.137626207,,,0.227594643,0.219579089,,0.362655899,0.179388778,0.225994567,,0.51865799,0.141993651,,0.370778693,0.208953088,,0.300313369,,,0.314904775,,0.562497144,0.20369848,0.171997342,,0.308646641,0.369767116,,,0.21836724,0.12031252,0.361783571,,,,,0.217651962,0.48142842,0.125743771,,0.223155794,,0.109672241,0.208846797,0.107431595,2.777932285,0.270376891,0.31998628,0.140623096,0.03841221,0.130594429,,,0.155926558,0.233105514,0.257920596,0.131003533,,0.084159895,0.501644297,0.087402752,,,,0.202960326,0.132854302,,,0.192420486,,0.287042524,0.215687741,0.120619734,,0.288685191,,,,0.140791891,,,,0.174307078,0.248162701,0.104520642,0.195946149,0.223244282,0.288598075,0.196011862,0.454045863,0.366764142,0.122672694,0.208252728,0.170337744,0.334154703,0.246156652,0.320837276,0.75384901,0.116785957,,0.461395508,0.361230637,0.453373102,,0.154273312,0.354233558,,,0.478474598,,0.169991733,0.178753136,,,,0.298631866,,,0.091912824,,,,0.18015728,0.220158019,,0.289224377,0.962672382,0.211281897,,0.231242429,0.210374474,0.080529248,0.178448385,,0.165149517,0.198994094,,0.213002244,0.168470247,0.115549625,0.11268834,,0.502894747,0.276284978,0.138815416,,0.397943005,0.222418823,,0.125397482,,0.101468831,0.139327509,0.173011173,0.336384082,0.190706173,0.331321416,0.380387029,0.179040455,0.512769532,,,,,,,,,,0.407145107,0.220466746,0.484924912,,,0.079000119,0.222070742,0.23334344,,,0.643118873,0.353724788,0.175413897,0.093758651,0.126460706,0.277000787,,0.093918547,0.081993252,1.117391304,0.276615478,0.308919726,0.077964433,0.266154532,,0.18698814,,1.044938316,0.248692744,0.218472492,0.793410123,,,,0.677833178,0.345539415,0.149132004,0.300367165,0.088538015,0.548979962,,0.413151025,0.403366918,,,0.161478047,0.111467853,0.267852956
2018,,0.145680521,0.3053955,,0.130713077,,,0.225833416,0.219433118,,0.354496766,0.167376185,0.222454011,,0.507196369,0.135198441,,0.376677168,0.206716505,,0.307536843,,,0.306256329,,0.540231015,0.207302401,0.162082706,,0.309646026,0.330169372,,,0.23379434,0.116146506,0.359906775,,,,,0.210366921,0.466423761,0.12681459,,0.271284431,,0.107287017,0.191918486,,,0.249596051,0.305948256,0.113477724,0.036273068,0.127841462,,,0.156304024,0.219627701,0.230368159,0.137344281,,0.087784367,0.462038932,0.082505508,,,,0.206158791,0.124702872,,,0.181893339,,0.270822657,0.205101489,0.139331156,,0.272328069,,,,0.14692482,,,,0.186433218,0.230327492,0.102033044,0.185784571,0.216230688,0.289536929,0.198328942,0.473032258,0.353135523,0.112843473,0.204921467,0.166989987,0.340317643,0.235333139,0.308944825,0.749056191,0.117991816,,,0.356708062,0.520550818,,0.16160786,0.339731765,,,0.448075495,,0.164903902,0.181022001,,,,0.306508939,,,0.087476984,,,,0.172786721,0.219893148,,0.289802316,1.186107699,0.229447702,,0.229976538,0.207189464,0.111403627,0.174009396,,0.195424218,0.189778774,,0.206027212,0.165966434,0.085817119,0.103164015,,,0.251631212,0.137747801,,0.415422952,0.198876409,,0.116031283,,0.103674094,0.137571408,0.170728913,0.318640324,0.172825389,0.311114494,0.400315957,0.172384911,0.512729337,,,,,,,,,,0.386394423,0.218580144,0.451740285,,,0.094388941,0.213895884,0.22193751,,,0.627504311,0.351941368,0.168368947,0.083540185,0.126151353,0.233712723,,0.090807774,0.07698615,,0.267246309,0.33276841,0.075347186,0.245812581,,0.182098777,,1.052629051,0.238625078,0.2083773,0.785329505,,,,0.680200552,0.335197274,0.143817305,0.301128392,0.093956382,0.55711227,,0.376080549,0.442781757,,,0.158541197,0.116055407,0.31436822
2019,,0.141655865,0.312096411,,0.126080897,,,0.227780708,0.219913715,,0.347664572,0.168334193,0.236922669,,0.572547686,0.139241741,,0.370980363,0.201547057,,0.276537071,,,0.292567631,,0.495262186,0.181836888,0.159457137,,0.334580106,0.30745693,,,0.273583728,0.110799713,0.353474007,,,,,0.227080176,0.456685438,0.143788745,,0.303243648,,0.102515017,0.186854508,,,0.237094162,0.282080499,0.108705841,0.036624187,0.112287085,,,0.163814944,0.231196637,0.229311579,0.155276199,,0.087106182,0.307437037,0.087585255,,,,0.188480087,0.120066823,,,0.167541689,,0.279959269,0.190248076,0.143065683,,0.245046621,,,,0.149363848,,,,0.171702793,0.255564734,0.102068215,0.176870872,0.204628832,0.281895977,0.206300537,0.48942608,0.292643582,0.10239346,0.191482394,0.161506896,0.326086204,0.228451913,0.31963376,0.642810626,0.118478818,,,0.385725619,0.40469745,,0.15346334,0.367718902,,,0.646810205,,0.160363197,0.17865554,,,,0.295828195,,,0.088051998,,,,0.168009531,0.218904945,,0.282059041,1.17124411,0.227563549,,0.243370682,0.204417935,0.103836125,0.173458637,,0.16587281,0.179572601,,0.208230923,0.17315325,0.111581545,0.122108208,,,0.275350149,0.131772187,,0.417978409,0.193799981,,0.140423446,,0.100865117,0.140706095,0.164750071,0.287453566,0.155748996,0.328197934,0.437667176,0.158292944,0.499315231,,,,,,,,,,0.403736727,0.235330047,0.433218885,,,0.060695242,0.19502999,0.207465859,,,0.67115552,0.331855968,0.1538027,0.088611973,0.129904984,0.331756018,,0.086686493,0.075811463,,0.250749708,0.334465393,0.077944981,0.247572215,,0.172437606,,1.065944422,0.233038041,0.196555144,0.829629979,,,,0.631752201,0.321481449,0.135873365,0.287955561,0.092473107,0.537580292,,0.45127639,0.513871172,,,0.189335783,0.119580734,0.315612414
2020,,0.140272656,0.316043545,,0.124316521,,,0.239824907,0.243014977,,0.341237146,0.16481851,0.245800494,,0.598915337,0.133378753,,0.352739128,0.194206226,,0.270749331,,,0.290621885,,0.514215931,0.183843345,0.154439817,,0.332901018,0.281317271,,,0.293057991,0.104436221,0.341192845,,,,,0.220382381,0.455612107,0.137187072,,0.338571787,,0.093949506,0.192091102,,,0.247029759,0.271440954,0.110964441,0.034305658,0.104676897,,,0.163368006,0.214563342,0.204009834,0.148098449,,0.080164229,0.233299847,0.076909992,,,,0.171004532,0.115388187,,,0.169458876,,0.293943645,0.178610157,0.149546471,,0.2277805,,,,0.135381399,,,,0.152328019,0.246043556,0.082119937,0.177800552,0.206192064,0.280952999,0.194790377,0.491859372,0.321845516,0.090817604,0.183005311,0.158191386,0.321743168,0.225700636,0.307580092,0.617464625,0.113192854,,,0.404619999,0.416297749,,0.145825629,0.460102282,,,0.77571074,,0.157460136,0.151015068,,,,0.301902486,,,0.093159332,,,,0.183754606,0.197505495,,0.294121717,1.288225587,0.265915206,,0.247359375,0.193078001,0.104929694,0.181180474,,0.176430565,0.168343406,,0.19739381,0.153934967,0.108674824,0.127144534,,,0.243922572,0.12779755,,0.4337641,0.199749102,,0.148649237,,0.099095019,0.130184915,0.170082235,0.280109559,0.149322673,0.312410646,0.424619187,0.158281217,0.492326171,,,,,,,,,,0.424187234,0.231930099,0.439370734,,,0.063303501,0.187729651,0.198592443,,,0.668884171,0.309153311,0.146111287,0.089665809,0.123029723,0.383433705,,0.078950235,0.072490565,,0.234398189,0.307423781,0.070098405,0.252218435,,0.172432696,,1.009326026,0.237065999,0.198436655,0.823715422,,,,0.611705864,0.322447561,0.133952949,0.267301334,0.095562464,0.525150015,,0.553146322,0.481455271,,,0.198054396,0.115599593,0.31759949
2021,,0.126271119,0.312019929,,0.129936561,,,0.239293137,0.243422231,,0.318174541,0.164142539,0.238834079,,0.60789545,0.127952062,,0.350755231,0.193621287,,0.269784923,,,0.303203013,,0.309872677,0.171448058,0.163165798,,0.335952702,0.310891364,,,0.289454058,0.104003571,0.332944528,,,,,0.201066006,0.441410391,0.132906162,,0.337513369,,0.096263635,0.182834454,,,0.244609312,0.277382002,0.110731129,0.033925355,0.104399259,,,0.159547017,0.246851841,0.209089818,0.148838309,,0.081635387,0.241560993,0.0755687,,,,0.166015009,0.118084092,,,0.167558719,,0.274304964,0.183670101,0.153920907,,0.212896556,,,,0.144838159,,,,0.170417177,0.24203972,0.077612958,0.170126517,0.200231313,0.286495399,0.190780602,0.481851419,0.319698298,0.085382814,0.167025503,0.16129538,0.340630627,0.22738456,0.308795989,0.589478821,0.114493637,,,0.42483578,0.440016844,,0.144999962,,,,0.76942677,,0.152457558,0.145788657,,,,0.288973758,,,0.091040571,,,,0.187662216,0.19594995,,0.275392457,1.285636292,0.168069295,,0.249927001,0.202457566,0.128638403,0.179611009,,0.172017314,0.16424586,,0.183375247,0.154895552,0.116158985,0.129088064,,,0.241753082,0.12219463,,0.470632058,0.206077686,,0.14408909,,0.101532546,0.135877989,0.171108685,0.286393469,0.138954184,0.316812056,0.425545524,0.159953985,0.508007786,,,,,,,,,,0.417822542,0.233316963,0.283500597,,,0.063933041,0.20691707,0.179003083,,,0.637702706,0.306008593,0.152213934,0.083089017,0.128544168,0.425692548,,0.073766193,0.070951573,,0.235416824,0.308452472,0.070956136,0.249417455,,0.170994633,,1.026937929,0.262705986,0.1923306,0.907250396,,,,0.577321742,0.318448506,0.132513362,0.268600419,0.097948316,0.502899238,,0.574116474,0.465245906,,,0.20560008,0.116520386,0.315609636
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOURCES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Territorial,"<b>For sources and methods, see Friedlingstein et al. (2022), Andrew and Peters (2022) and Peters et al. (2011).</b><br /><br /><br />Friedlingstein, P., O’Sullivan, M., Jones, M.W., Andrew, R.M., Gregor, L. et al. (2022): Global Carbon Budget 2022, Earth System Science Data. Available at: <a href=""https://doi.org/10.5194/essd-14-4811-2022"" target=""_blank""> Friedlingstein et al., 2022.</a><br /><br />Andrew, R.M. and Peters, G.P. (2022): The Global Carbon Project's fossil CO<sub>2</sub> emissions dataset. October, 17, 2022. Available at: <a href=""https://zenodo.org/record/7215364"" target=""_blank"">Andrew and Peters, 2022.</a><br /><br />Peters, G.P., Minx, J.C., Weber, C.L., and O. Edenhofer (2011), Growth in emission transfers via international trade from 1990 to 2008. Proceedings of the National Academy of Sciences (PNAS), 108(21), 8903-8908, Available at: <a href=""https://doi.org/10.1073/pnas.1006388108"" target=""_blank"">Peters et al., 2011.</a><br /><br />The use of data is conditional on citing the original data sources. <br /><br />Data for years 2020 and 2021 are preliminary.<br /><br />",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
